apps/frappe/frappe/public/js/frappe/ui/toolbar/awesome_bar.js +127,Help on Search,Ayuda en la búsqueda
DocType: Web Page,Left,Izquierda
DocType: SMS Settings,"Enter static url parameters here (Eg. sender=ERPNext, username=ERPNext, password=1234 etc.)","Introduzca los parámetros de URL estáticas aquí (Ej. sender = ERPNext , nombre de usuario = ERPNext , contraseña = 1234 etc )"
apps/frappe/frappe/core/doctype/user/user.py +191,Sorry! Sharing with Website User is prohibited.,¡Lo siento! Compartir con los del Sitio Web está prohibido.
DocType: Custom Script,Script,Guión
apps/frappe/frappe/custom/doctype/customize_form/customize_form.js +71,Refresh Form,Formulario de actualización
apps/frappe/frappe/templates/emails/new_user.html +2,A new account has been created for you at {0},Una nueva cuenta ha sido creada para ti en {0}
DocType: Website Script,Website Script,Guión del Sitio Web
DocType: View log,Reference DocType,Referencia DocType
apps/frappe/frappe/__init__.py +1178,Thank you,Gracias
DocType: Address,Shipping,Envío
DocType: Currency,"How should this currency be formatted? If not set, will use system defaults","¿Cómo se debe formatear esta moneda ? Si no se establece, utilizará valores predeterminados del sistema"
apps/frappe/frappe/core/doctype/report/report.py +37,Only Administrator allowed to create Query / Script Reports,Solo el Administrador puede crear consultas / Informes de Secuencias de Comandos
DocType: Web Form,Sidebar Items,Sidebar Artículos
apps/frappe/frappe/utils/nestedset.py +217,Cannot delete {0} as it has child nodes,"No se puede eliminar {0} , ya que tiene nodos secundarios"
DocType: DocField,Set non-standard precision for a Float or Currency field,Ajuste de precisión no estándar para Decimales  Campo de Moneda
DocType: Workflow State,eye-close,ojo -cierre
DocType: Workflow State,step-backward,paso hacia atrás
DocType: User,User Defaults,Predeterminadas del Usuario
DocType: DocType,Fields,Los campos
DocType: Web Form,Success Message,Mensaje de éxito
DocType: Website Slideshow,Slideshow Name,Presentación Nombre
apps/frappe/frappe/core/doctype/version/version_view.html +74,Row # ,Fila #
DocType: Workflow State,share-alt,share- alt
DocType: Report,JavaScript Format: frappe.query_reports['REPORTNAME'] = {},Formato de JavaScript: frappe.query_reports [' REPORTNAME'] = { }
apps/frappe/frappe/website/doctype/website_theme/website_theme.py +40,Top Bar Color and Text Color are the same. They should be have good contrast to be readable.,Top Bar en color y texto en color son los mismos. Deben tienen buen contraste para ser legible.
apps/frappe/frappe/desk/form/assign_to.py +161,"The task {0}, that you assigned to {1}, has been closed by {2}.","La tarea {0}, que asignó a {1}, ha sido cerrado por {2}."
DocType: Workflow State,star-empty,- estrella vacía
apps/frappe/frappe/templates/emails/auto_reply.html +1,Thank you for your email,Gracias por tu email
apps/frappe/frappe/public/js/legacy/form.js +62,"Allowing DocType, DocType. Be careful!","Permitir DocType , tipo de documento . ¡Ten cuidado!"
apps/frappe/frappe/core/doctype/docshare/docshare.py +40,"You need to have ""Share"" permission","Usted necesita tener el permiso ""Compartir"""
apps/frappe/frappe/core/page/permission_manager/permission_manager_help.html +9,The system provides many pre-defined roles. You can add new roles to set finer permissions.,El sistema ofrece muchas funciones predefinidas . Usted puede agregar nuevos roles para establecer permisos más finos.
apps/frappe/frappe/utils/nestedset.py +252,{0} {1} cannot be a leaf node as it has children,"{0} {1} no puede ser un nodo de hoja , ya que tiene los niños"
DocType: Footer Item,Company,Compañía(s)
DocType: Notification,Send alert if date matches this field's value,Envíe la alarma si la fecha coincide con el valor de este campo
apps/frappe/frappe/printing/page/print_format_builder/print_format_builder.js +697,You can add dynamic properties from the document by using Jinja templating.,Puede añadir propiedades dinámicas del documento mediante el uso de plantillas Jinja.
apps/frappe/frappe/core/doctype/doctype/doctype.py +562,Default for {0} must be an option,Predeterminado para {0} debe ser una opción
apps/frappe/frappe/core/doctype/doctype/doctype.py +526,Options must be a valid DocType for field {0} in row {1},Las opciones deben ser validas para el DocType en el campo {0} de la linea {1}
apps/frappe/frappe/templates/emails/auto_reply.html +5,This is an automatically generated reply,Esta es una respuesta generada automáticamente
apps/frappe/frappe/public/js/frappe/form/link_selector.js +142,Set,conjunto
DocType: Workflow Action,Workflow State,Estados de los flujos de trabajo
DocType: Communication,Submitted,Enviado
apps/frappe/frappe/core/doctype/doctype/doctype.py +771,{0}: No basic permissions set,{0}: No se han asignado permisos básicos
apps/frappe/frappe/public/js/frappe/ui/toolbar/toolbar.js +256,"Your download is being built, this may take a few moments...","Se está generando su descarga, esto puede tardar unos minutos..."
apps/frappe/frappe/core/doctype/data_import/data_import.js +204,Download with data,Descarga de datos
DocType: DocType,Hide Heading,Ocultar Rubro
apps/frappe/frappe/core/doctype/doctype/doctype.py +831,{0}: Cannot set Assign Amend if not Submittable,{0}: no se puede 'Asignar Correción' si no se puede presentar
apps/frappe/frappe/printing/page/print_format_builder/print_format_builder.js +411,Remove Section,Retire la Sección
apps/frappe/frappe/config/setup.py +221,Define workflows for forms.,Definir los flujos de trabajo para las formas .
DocType: Workflow State,font,Fuente
apps/frappe/frappe/public/js/frappe/model/model.js +33,Parent,Padre
DocType: Communication,Workflow,Flujo de Trabajo
apps/frappe/frappe/public/js/frappe/ui/toolbar/awesome_bar.js +136,Search in a document type,Buscar en un tipo de documento
DocType: Print Format,Server,Servidor
DocType: Website Settings,Set Banner from Image,Establecer Banner de imagen
DocType: DocType,Is Single,Es Individual
apps/frappe/frappe/templates/includes/list/filters.html +19,clear,claro
DocType: Notification,Send alert if this field's value changes,Enviar alerta si cambia el valor de este campo
apps/frappe/frappe/desk/query_report.py +162,Must have report permission to access this report.,Debe tener permiso de informe para acceder a este informe.
apps/frappe/frappe/public/js/frappe/views/pageview.js +112,Sorry! You are not permitted to view this page.,¡Lo siento! Usted no está autorizado a ver esta página.
apps/frappe/frappe/core/doctype/data_import/exporter.py +63,Please do not change the template headings.,"Por favor, no cambiar los encabezados de la plantilla."
DocType: Notification,Days Before or After,Días Anteriores o Posteriores
DocType: File,Content Hash,Hash contenido
DocType: Workflow State,align-left,alinear -izquierda
apps/frappe/frappe/core/doctype/doctype/doctype.py +810,{0}: Cannot set Import without Create,{0}: no se puede establecer 'De importación' sin crearlo primero
apps/frappe/frappe/custom/doctype/customize_form/customize_form.js +257,Hide field in Report Builder,Ocultar campo en el Generador de Informes
apps/frappe/frappe/core/doctype/doctype/doctype.py +540,Max width for type Currency is 100px in row {0},El ancho máximo para la moneda es 100px en la linea {0}
apps/frappe/frappe/public/js/frappe/form/link_selector.js +151,{0} added,{0} agregado(s)
DocType: Integration Request,Reference DocName,Referencia DocNombre
apps/frappe/frappe/printing/page/print_format_builder/print_format_builder.js +790,Saved,Guardado
DocType: System Settings,Security,Seguridad
DocType: Communication,Read,Lectura
apps/frappe/frappe/public/js/frappe/ui/filters/filter.js +283,use % as wildcard,Use% como comodín
apps/frappe/frappe/model/delete_doc.py +171,User not allowed to delete {0}: {1},El usuario no puede eliminar {0}: {1}
apps/frappe/frappe/desk/query_report.py +52,Query must be a SELECT,Debe seleccionar la Consulta
DocType: DocShare,Document Name,Nombre del documento
apps/frappe/frappe/printing/page/print_format_builder/print_format_builder.js +162,Start new Format,Comenzar una nueva Formato
apps/frappe/frappe/desk/form/assign_to.py +155,"The task {0}, that you assigned to {1}, has been closed.","La tarea {0}, que asignó a {1}, se ha cerrado."
apps/frappe/frappe/config/website.py +42,Write titles and introductions to your blog.,Escribe títulos y las introducciones a tu blog .
DocType: Role Profile,Roles Assigned,Funciones Asignadas
DocType: Custom Field,Adds a custom field to a DocType,Añade un campo personalizado para un tipo de documento
DocType: User,Middle Name (Optional),Segundo Nombre ( Opcional)
DocType: Email Account,Use TLS,Utilice TLS
apps/frappe/frappe/contacts/doctype/address_template/address_template.py +33,Default Address Template cannot be deleted,Plantilla de la Direcciones Predeterminadas no puede eliminarse
apps/frappe/frappe/core/page/permission_manager/permission_manager_help.html +34,Select Document Types to set which User Permissions are used to limit access.,Seleccione los Tipos de Documento para establecer los Permisos de Usuario para limitar el acceso.
apps/frappe/frappe/website/doctype/website_theme/website_theme.py +30,You are not allowed to delete a standard Website Theme,No se le permite eliminar un tema Sitio web estándar
apps/frappe/frappe/custom/doctype/customize_form/customize_form.js +229,Permissions can be managed via Setup &gt; Role Permissions Manager,Los permisos se pueden gestionar a través de Configuración > Administrador de Funciones
apps/frappe/frappe/core/doctype/doctype/doctype.py +796,{0}: Permission at level 0 must be set before higher levels are set,{0} : Permiso en el nivel 0 se debe establecer antes de fijar niveles más altos
DocType: System Settings,dd-mm-yyyy,dd- mm- aaaa
apps/frappe/frappe/config/desk.py +54,"Newsletters to contacts, leads.","Boletines para contactos, clientes potenciales ."
DocType: Notification,Message Examples,Ejemplos de Mensajes
apps/frappe/frappe/core/page/permission_manager/permission_manager_help.html +11,"As a best practice, do not assign the same set of permission rule to different Roles. Instead, set multiple Roles to the same User.","Como práctica recomendada , no asigne el mismo conjunto de permisos para diferentes funciones. En su lugar, establecer varias funciones al mismo usuario ."
DocType: Website Theme,Top Bar Color,Inicio Barra Color
apps/frappe/frappe/core/doctype/doctype/doctype.py +594,There can be only one Fold in a form,Sólo puede haber un doblez en forma
DocType: Address,Shop,Tienda
apps/frappe/frappe/public/js/frappe/views/treeview.js +183,Add Child,Agregar subcuenta
apps/frappe/frappe/core/page/permission_manager/permission_manager_help.html +7,Roles can be set for users from their User page.,Las funciones se pueden configurar para los usuarios de su página de usuario .
apps/frappe/frappe/core/page/permission_manager/permission_manager_help.html +6,Permissions get applied on Users based on what Roles they are assigned.,Permisos han sido aplicados a los Usuarios en base a los funciones que tienen asignadas.
DocType: Contact,Replied,Respondio
DocType: Contact Us Settings,"Contact options, like ""Sales Query, Support Query"" etc each on a new line or separated by commas.","Opciones de contacto , como "" Consultas de Ventas , Soporte de consultas"" , etc cada uno en una nueva línea o separados por comas."
DocType: Page,Roles,Funciones
DocType: Country,Time Zones,Husos horarios
DocType: Website Settings,Website Theme Image,Sitio web Imagen por tema
DocType: Address,City/Town,Ciudad/Provincia
apps/frappe/frappe/templates/includes/login/login.js +39,Valid email and name required,Nombre y Correo Electrónico válido requerido
DocType: Property Setter,Property Setter overrides a standard DocType or Field property,Propiedad Setter se impone a una DocType estándar o propiedad Campo
DocType: DocField,Float,flotador
apps/frappe/frappe/website/doctype/website_settings/website_settings.py +34,{0} does not exist in row {1},{0} no existe en la linea {1}
DocType: Contact,Open,Abrir
DocType: DocType,Hide Copy,Copia Oculta
apps/frappe/frappe/printing/doctype/print_format/print_format.py +19,Standard Print Format cannot be updated,Formato de impresión estándar no se puede actualizar
apps/frappe/frappe/model/rename_doc.py +431,** Failed: {0} to {1}: {2},** Fallo: {0} a {1}: {2}
apps/frappe/frappe/public/js/frappe/form/layout.js +28,This form does not have any input,Esta forma no tiene ninguna entrada
apps/frappe/frappe/templates/emails/recurring_document_failed.html +1,Recurring,Periódico
apps/frappe/frappe/model/naming.py +48,{0} is required,{0} es necesario
DocType: Website Settings,Select an image of approx width 150px with a transparent background for best results.,Seleccione una imagen de ancho aprox 150px con fondo transparente para obtener mejores resultados .
DocType: Workflow State,Tag,Etiqueta
DocType: Print Settings,Send Print as PDF,Enviar Impresión como PDF
apps/frappe/frappe/core/page/permission_manager/permission_manager.js +55,Select Role,Seleccione Función
apps/frappe/frappe/model/base_document.py +402,Data missing in table,Los datos que faltan en la tabla
apps/frappe/frappe/desk/doctype/event/event.py +32,Every day events should finish on the same day.,Los eventos deben terminar el mismo día.
DocType: Workflow State,resize-vertical,cambiar el tamaño vertical
apps/frappe/frappe/core/page/permission_manager/permission_manager.js +102,Reset Permissions for {0}?,Restablecer los permisos para {0} ?
DocType: Property Setter,DocType or Field,DocType o campo
DocType: System Settings,Scheduler Last Event,Programador Último Evento
DocType: Workflow Document State,Doc Status,Estado Doc.
DocType: DocType,Single Types have only one record no tables associated. Values are stored in tabSingles,Tipos simples tienen sólo un registro no hay tablas asociadas . Los valores se almacenan en tabSingles
apps/frappe/frappe/public/js/frappe/form/multi_select_dialog.js +58,Make a new,Hacer una nueva
apps/frappe/frappe/core/page/permission_manager/permission_manager_help.html +35,"Once you have set this, the users will only be able access documents (eg. Blog Post) where the link exists (eg. Blogger).","Una vez que haya establecido esto, los usuarios sólo tendrán acceso a los documentos que puedan (por ejemplo, Entrada de blog ) donde se encuentra la relación (por ejemplo, Blogger ) ."
apps/frappe/frappe/core/doctype/doctype/doctype.py +544,'In List View' not allowed for type {0} in row {1},No está permitido para el tipo {0} en la linea {1}
apps/frappe/frappe/custom/doctype/customize_form/customize_form.js +218,"Change type of field. (Currently, Type change is \
						allowed among 'Currency and Float')","Cambiar el tipo de campo. (Actual, Tipo de cambio, Cantidad permitida, Moneda, Flotante, etc)"
DocType: Footer Item,"Select target = ""_blank"" to open in a new page.","Select target = "" _blank"" para abrir en una nueva página."
apps/frappe/frappe/core/doctype/report/report.js +9,"To format columns, give column labels in the query.","Para dar formato a columnas, dar títulos de las columnas en la consulta."
apps/frappe/frappe/model/naming.py +113,Invalid naming series (. missing),Serie de nombres Inválidos (. Faltante)
DocType: Communication,Sent or Received,Envío y de recepción
apps/frappe/frappe/public/js/frappe/form/grid.js +681,Edit via Upload,Editar vía Subir Archivo
DocType: Communication,User Tags,Nube de Etiquetas
DocType: Workflow State,text-height,text- altura
DocType: Website Theme,Text Color,Color del texto
apps/frappe/frappe/custom/doctype/custom_field/custom_field.js +60,Name of the Document Type (DocType) you want this field to be linked to. e.g. Customer,Nombre del tipo de documento (DocType) el cual quiere que este campo este vinculado. por ejemplo al Cliente
DocType: Web Form,Success URL,URL de Éxito
apps/frappe/frappe/core/doctype/report/report.js +16,Write a Python file in the same folder where this is saved and return column and result.,Escriba un archivo de Python en la misma carpeta donde esta se guarda y devuelve la columna y el resultado.
DocType: Workflow,"Rules for how states are transitions, like next state and which role is allowed to change state etc.","Reglas para transición entre estados, como el siguiente estado y qué función permite cambiar de estado , etc"
DocType: User,Change Password,Cambiar contraseña.
DocType: Workflow,States,Unidos
DocType: User,Email Signature,Firma Email
apps/frappe/frappe/sessions.py +139,Redis cache server not running. Please contact Administrator / Tech support,"Servidor de Caché Redis no esta funcionando. Por favor, póngase en contacto con el Administrador / Soporte técnico"
DocType: Workflow Document State,Only Allow Edit For,Sólo Permitir Editar Para
DocType: Website Slideshow,This goes above the slideshow.,Esto va por encima de la presentación de diapositivas.
DocType: Website Settings,Footer Items,Elementos del Pie de Página
apps/frappe/frappe/core/doctype/doctype/doctype.py +808,{0}: Cannot set Amend without Cancel,{0}: no se puede 'Corregir' sin antes cancelar
apps/frappe/frappe/templates/emails/new_user.html +3,Your login id is,Su nombre de usuario es
DocType: DocField,Currency,Divisa
DocType: System Settings,Session Expiry Mobile,Vencimiento de sesión en dispositivo mobil
DocType: Web Form,Text to be displayed for Link to Web Page if this form has a web page. Link route will be automatically generated based on `page_name` and `parent_website_route`,El texto que se muestra para enlazar a la página Web si esta forma dispone de una página web. Ruta Enlace automáticamente se genera en base a `page_name` y` parent_website_route`
,Setup Wizard,Asistente de configuración
DocType: Print Settings,Send Email Print Attachments as PDF (Recommended),Enviar Emails con adjuntos en formato PDF (recomendado)
apps/frappe/frappe/public/js/frappe/ui/filters/filter.js +157,Field {0} is not selectable.,El campo {0} no se puede seleccionar .
apps/frappe/frappe/public/js/frappe/views/reports/grid_report.js +821,Select To Download:,Seleccione la descarga :
apps/frappe/frappe/public/js/frappe/upload.js +252,Please attach a file or set a URL,"Por favor, adjuntar un archivo o defina una URL"
DocType: Contact,Is Primary Contact,Es Contacto principal
,Permitted Documents For User,Documentos permitidos para los usuarios
apps/frappe/frappe/public/js/frappe/ui/toolbar/awesome_bar.js +132,Make a new record,Hacer un Nuevo Registro
DocType: Report,Script Report,Informe de secuencias de comandos
apps/frappe/frappe/custom/doctype/custom_field/custom_field.py +24,Label is mandatory,Etiqueta es obligatoria
DocType: Currency,**Currency** Master,**Moneda** Principal
DocType: Event,Sunday,Domingo
DocType: Custom Field,Label Help,Etiqueta Ayuda
apps/frappe/frappe/public/js/frappe/ui/toolbar/navbar.html +87,Search or type a command,Busque o escriba un comando
DocType: Event,Repeat On,Repetir OK
apps/frappe/frappe/custom/doctype/customize_form/customize_form.js +76,Remove all customizations?,Eliminar todas las personalizaciones ?
apps/frappe/frappe/geo/doctype/currency/currency.js +7,This Currency is disabled. Enable to use in transactions,Esta moneda está deshabilitada . Habilite el uso en las transacciones
DocType: Contact Us Settings,Contact Us Settings,Configuración de Contáctenos
DocType: Workflow State,thumbs-up,pulgar hacia arriba
DocType: About Us Settings,Introduce your company to the website visitor.,Dar a conocer su empresa al visitante del sitio Web .
apps/frappe/frappe/config/setup.py +259,Add custom javascript to forms.,Añadir javascript personalizado las formas .
DocType: Communication,Unread Notification Sent,Notificación No leído Enviado
apps/frappe/frappe/public/js/frappe/views/treeview.js +234,Select a group node first.,Seleccione un nodo de grupo primero.
DocType: Workflow State,"Style represents the button color: Success - Green, Danger - Red, Inverse - Black, Primary - Dark Blue, Info - Light Blue, Warning - Orange","Estilo representa el color del botón : Éxito - Verde , Peligro - Rojo , Inverso - Negro , Primaria - Azul Oscuro , Info - Azul Claro, Advertencia - Orange"
apps/frappe/frappe/core/page/permission_manager/permission_manager.js +291,Users with role {0}:,Los usuarios con función {0}:
apps/frappe/frappe/core/doctype/file/file.py +195,Same file has already been attached to the record,El mismo archivo ya se ha adjuntado al registro
apps/frappe/frappe/core/doctype/doctype/doctype.py +803,{0}: Cannot set Cancel without Submit,{0}: no se puede 'Cancelar' sin presentarlo
DocType: Address,Address Title,Dirección Título
apps/frappe/frappe/custom/doctype/customize_form/customize_form.js +241,Mark the field as Mandatory,Marque el campo como obligatorio
DocType: Workflow State,resize-full,cambiar a tamaño completo
apps/frappe/frappe/core/doctype/docshare/docshare.py +47,{0} shared this document with everyone,{0} compartió este documento con todos
apps/frappe/frappe/public/js/frappe/model/model.js +518,Permanently delete {0}?,Eliminar permanentemente {0} ?
apps/frappe/frappe/printing/page/print_format_builder/print_format_builder.js +82,Select Print Format to Edit,Seleccione Formato de impresión a Editar
DocType: Contact,Sales Master Manager,Gerente de Ventas
apps/frappe/frappe/public/js/frappe/form/link_selector.js +26,You can use wildcard %,Puede utilizar caracteres comodín%
apps/frappe/frappe/public/js/frappe/views/reports/reportview.js +775,Report was not saved (there were errors),Informe no se guardó ( hubo errores )
apps/frappe/frappe/core/page/permission_manager/permission_manager_help.html +24,"Permissions at level 0 are Document Level permissions, i.e. they are primary for access to the document.","Los permisos del nivel 0 son los permisos a nivel de documentos, es decir, que tienen permiso especial para los documentos."
apps/frappe/frappe/config/setup.py +242,"Change field properties (hide, readonly, permission etc.)","Cambiar las propiedades de campo (ocultar, sólo lectura, permisos, etc)"
apps/frappe/frappe/printing/page/print_format_builder/print_format_builder.js +108,Select a DocType to make a new format,Seleccione un tipo de documento para hacer un nuevo formato
apps/frappe/frappe/model/document.py +1101,Table {0} cannot be empty,La tabla {0} no puede estar vacío
DocType: Report,Report Builder,Generador de informes
DocType: Workflow Document State,Represents the states allowed in one document and role assigned to change the state.,Representa los estados permitidos en un solo documento y función asignada a cambiar el estado.
apps/frappe/frappe/config/setup.py +19,User Roles,Funciones de Usuario
apps/frappe/frappe/email/receive.py +64,Cannot connect: {0},No puede conectarse: {0}
apps/frappe/frappe/core/doctype/report/report.py +33,Only Administrator can save a standard report. Please rename and save.,"Sólo el administrador puede guardar un informe estándar. Por favor, cambie el nombre y guardar."
apps/frappe/frappe/printing/page/print_format_builder/print_format_builder.js +126,Both DocType and Name required,Tanto DocType y Nombre son obligatorios
apps/frappe/frappe/core/doctype/doctype/doctype.py +784,"{0}: Only one rule allowed with the same Role, Level and {1}","{0}: Sólo una regla es permitida con el mismo rol, Nivel y {1}"
DocType: Customize Form,"Customize Label, Print Hide, Default etc.","Personaliza etiquetas, impresión Hide , Default , etc"
apps/frappe/frappe/public/js/frappe/views/reports/reportview.js +665,Sort By,Ordenado por
apps/frappe/frappe/desk/form/utils.py +114,No further records,No hay registros adicionales
apps/frappe/frappe/public/js/frappe/views/reports/reportview.js +606,Pick Columns,Seleccione columnas
DocType: Patch Log,Patch Log,Registro de Parches
DocType: Auto Repeat,Draft,Borrador.
apps/frappe/frappe/utils/verified_command.py +45,This link is invalid or expired. Please make sure you have pasted correctly.,"Este enlace no es válido o caducado. Por favor, asegúrese de que ha pegado correctamente."
apps/frappe/frappe/desk/query_report.py +48,Must specify a Query to run,Debe especificar una consulta para ejecutar
apps/frappe/frappe/public/js/frappe/misc/tools.js +10,Export not allowed. You need {0} role to export.,Exportaciones no permitido. Es necesario {0} función de exportar .
apps/frappe/frappe/core/doctype/report/report.js +8,Write a SELECT query. Note result is not paged (all data is sent in one go).,Escriba una consulta SELECT. Nota resultado no se pagina ( todos los datos se envían en una sola vez ) .
DocType: Event,Repeat this Event,Repita este Evento
